Company Name,Compnay Rating,Company Reviews,Company Trial,Company Description
Infinite Options,4.8,"3,786",14-day free trial,"Product options, swatches, custom fields, and product variants"
"Globo Product Options, Variant",4.9,"1,232",Free plan available,"Product Personalization, Customize Product, Variants Options"
Variant Option Product Options,4.6,909,Free plan available,"product custom, product personal,product variants,custom field"
Tabs Studio,4.9,369,Free plan available,Easily add professional tabs or accordions to your products.
Kiwi Size Chart & Recommender,4.5,703,Free plan available,Increase sales with fit recommender and stylish size charts
"GLO Color Swatch,Variant Image",4.9,490,Free,Show product variants as Color Swatch or Variant Image
Hulk Product Options,4.7,"1,556",7-day free trial,"Simplify customization with option sets, and apply in batches."
Zepto Product Personalizer,4.8,843,15-day free trial,Offer Live Product Customization with Unlimited Options
Swatch King ‑ Variant Options,4.9,"1,041",Free plan available,"Link Variants as Color Swatch, Swatches on Collection Page &.."
Bold Product Options,4.6,"2,371",Free plan available,Customize products with variants options and color swatches.
"Avada: Size Chart, Size Guide",4.9,"1,059",Free plan available,Set up size chart/size fit guides for detail body measurement
ESC ‑ Size Charts & Size Guide,4.6,582,Free plan available,Reduce return rates with unlimited size charts and size guides
Upload‑Lift Image Upload,4.9,145,Free plan available,Receive Image file uploads for personalized orders.
Textbox ‑ Textfield by Textify,4.7,45,3-day free trial,Add a text box or text field to product page - linked to order
Product Options & Customizer,4.7,"1,315",Free plan available,"Customize unlimited product options & variants, color swatches"
BF Size Charts & Size Guides,4.7,192,Free plan available,"Size charts for Clothing, T-Shirts, Shoes + on product pages"
Variant Image Wizard + Swatch,5,272,Free plan available,Customize color swatches and add multiple variant images
Advanced Product Options,4.6,523,14-day free trial,Create unlimited product options & variants options
Ymq Product Options & Variants,5,344,Free plan available,This app can create infinite product options.
StarApps Variant Image,4.9,485,Free plan available,Show Multiple Images per Variant | Fix Product Page Gallery
Uploadly ‑ File Upload,4.4,25,Free plan available,Let customers upload images & files  - linked to orders.
Avis Product Options Variants,4.9,516,Free,"Product options & Product variants, swatches, price add ons"
File Uploads by UploadKit,4.9,167,Free plan available,"Unlimited fields, any file type, crop images, sync to G Drive."
Clean Size Charts: Size Guide,4.8,141,Free plan available,Unlimited size charts and size guides for growing brands
PX Variants & Product Options,4.9,231,Free plan available,"Create infinite options, variants options for all of products"
Realtime Stock Sync & Bundling,4.9,443,14-day free trial,"Multiple shops, Amazon, eBay, Etsy, Faire, QBO, Square, & more"
Teeinblue Product Personalizer,5,154,21-day free trial,"Live Customize Product, Large Print On Demand Partners"
qikify Quick View,4.7,163,Free plan available,Optimize Conversion Rate. Quick view product. One click buy
Customily Product Personalizer,4.8,126,9-day free trial,"Powerful Personalizer, Customize Products, Print on Demand"
Live Product Options,4.8,159,14-day free trial,Live Product Options for customized and personalized Products
Zakeke ‑ Customizer 2D 3D,4.5,96,14-day free trial,"Customize products in 2D, 3D, AR. Boost sales & reduce returns"
Product Colors Linkify,4.5,81,7-day free trial,Link your products of different colors using swatches.
Kickflip ‑ Customize Products,4.8,71,Free to install,Visual product personalizer boosting engagement & sales
Product Variants Options BSS,4.9,111,Free plan available,"Unlimited product options, custom options, swatches, & more!"
"Variant Title King: Color, SKU",4.9,61,Free,"Variant Options Info, Color Swatch Name & SKU in Product Title"
[Maestrooo] SuperFields,4.8,15,7-day free trial,Manage and edit metafields easily
Customify ‑ Custom Product App,4.7,228,14-day free trial,Product customization | Customize Product App
Uploadery,4.9,391,14-day free trial,Give your customers the ability to send files with their order
ID's Exporter,4.8,26,Free plan available,"Export IDs of products, variants, inventory items & locations"
Dynamic Product Options,5,316,15-day free trial,Ultimate app to manage custom options & price calculators
Custom Product Builder,4.5,118,30-day free trial,Custom Options. Live Preview Product Customizer & Personalizer
W3  Custom Product Options,4.8,297,7-day free trial,Add unlimited product options! Now with live product preview!
Filey ‑ Files Backup & Export,5,96,Free,"Export store files, product images and videos in one click."
Product Description ChatGPT AI,5,36,Free plan available,"Create 1,000+ product descriptions in 1 click with ChatGPT AI!"
Gift Wrap Plus,4.8,100,Free plan available,Let customers add a message or gift wrap for their orders.
Camouflage: Hide Sold Variants,5,160,Free plan available,Hide/ Disable out of stock or unavailable or specific variants
Magic 360,4.9,34,$169 one-time charge,360 degree spin is the perfect way customers view your product
B4B ‑ Variable Products,4.9,50,30-day free trial,Variants on collection page & Collection filter by variants
Variant Description OMG,5,67,Free plan available,Product variant descriptions—Smart features you're not using!
EZ Product Options & Variants,5,156,Free plan available,"Customize variants options, infinite options for all products"
Smart Size Chart & Size Guide,5,59,Free plan available,Premium size charts to help shoppers find the fitting product.
Tako SEO Description AI writer,4.9,67,Free plan available,"Your AI copywriter for SEO product descriptions, ads and blog."
Mighty Image Uploader,4.9,179,7-day free trial,Highly Customizable Image Uploader For Personalized Orders.
Custom Price Calculator,4.8,157,10-day free trial,Live price calculator for custom options & bulk products
Swatches Dotify,4.5,166,7-day free trial,Add stylish color/image Swatches to your product options.
Easy Variant Images,5,48,21-day free trial,Assign Multiple Images to Variants. Boost Conversions
Magical Order Form Fields,4.9,39,14-day free trial,Add Custom Form Fields to Products and Checkout Extensions
LC | Manual Related Products,3.9,10,Free plan available,Manually configure related products for higher conversions
PDF Guru ‑ Master your PDFs,5,3,Free plan available,Easily Display PDFs to Customers anywhere in your Storefront
MPO ‑ Multiple Product Options,4.9,217,7-day free trial,Set multiple product options or variants with condition logic
Proofer Proof Management,4.6,52,Free plan available,Gracefully manage your custom order proofs
Sizefox | Size Finder,4.5,8,Free,Get your customers the right size with size recommendations
Custom Product Accordion Tabs,4.5,54,7-day free trial,"Accordions/Tabs for Product, FAQs or any store page."
Varia ‑ variants on collection,4.8,38,7-day free trial,Show variants on collection pages as separate products
Variant Descriptions King,5,100,Free plan available,"Show description of selected variant, add accordions/tabs, etc"
TIB Product Options & Variants,4.9,21,Free,"Product options, Product variants, Variants options & Swatches"
Customized Products on Demand,5,6,Free plan available,"Built in Customization. Customers can add photos, text & more."
Size Swatch,4.9,38,14-day free trial,Display variant names in a swatch on the collection & homepage
Multi‑Location Inventory Info,4.9,46,14-day free trial,Display location inventory information on product pages
Inkybay ‑ Product Personalizer,4.9,216,21-day free trial,Product customization & configurator with live preview options
Qstomizer ‑ Custom products,4.9,278,15-day free trial,The professional customize tool for custom products.
EXPO ‑ Extra Product Options,4.5,32,Free plan available,Add unlimited product options & variants with 16+ field types
Vario ‑ Variation Swatches,5,46,Free plan available,"Variant images, color swatches, variants options, image swatch"
PL Product Color Swatches,5,17,Free plan available,Link multi-color products with color or image swatches.
B2B:Wholesale Bulk Order Form,5,39,7-day free trial,Effective B2B/B2C wholesale solution and bulk order form...
Tsunami Personalize On Demand,4.9,11,Free plan available,Upload Photos & Text with Dynamic Personalization Preview
POWR | Product Pricing Table,4.8,43,Free plan available,Boost sales + upgrades with pricing plan comparison tables
Color Swatch Pug,4.8,138,14-day free trial,Color swatch | Image swatch for collection and product pages.
Tabs+ Product Descriptions,4.7,18,Free plan available,Easily add tabs to your product pages using shared templates
Fit Quiz: Size recommendation,4.6,16,14-day free trial,Size and Fit recommendations for clothes and shoes!
Wizio Bundle: Quantity Breaks,5,58,Free to install,"Offer deals like frequently bought together, volume discount"
Smart Image Upload,5,17,Free plan available,Bulk upload product images and save your time!
LensAdvizor: Prescription Lens,5,27,Free plan available,Easily sell prescription lenses with your eyewear products
Panda Size Chart,5,26,Free plan available,Find your perfect fit with Panda Size Guide app.
Valiant Variant Images,2.4,40,Free,New! – Show images for the selected variant only.
Price Panda ‑ Price Per Unit,5,27,Free plan available,Display the unit price of your products
Addributes | Cart Properties,4.8,44,14-day free trial,Essential Product Properties for your Checkout + Price History
Elegantsy Product labels,4.2,57,25-day free trial,Attract visitors with eye-catching product labels & badges
Neon Sign Customiser,5,22,Free plan available,Let customers design and order their very own unique neon sign
Variant Image Penguin,4.2,118,16-day free trial,"Assign multiple images to variants, clean up your product page"
ArtPlacer,3.5,5,Free to install,The marketing tool to make your art business grow
New Arrivals,5,5,7-day free trial,Automate new arrivals by tagging products on time
Product Variants Reloaded,4.8,26,14-day free trial,"Upto 1,000 REAL Variants and 6 REAL Options per product"
Live Preview Options by Webyze,4.6,45,7-day free trial,Unlimited Product Options with a Live Preview Image Generator.
Angle 3D Configurator ‑3D & AR,5,111,14-day free trial,3D & Augmented Reality(AR) customizations to boost conversion.
SizeWise: size guide & chart,4.1,12,$4.99/month,Add and display size chart anywhere on the product page
Swatcher ‑ Color Swatch Option,5,24,7-day free trial,Improve product presentation by showing color swatch variants
Comnja ‑ PDF Viewer,5,2,Free plan available,Offer Valuable Information and Promote Your PDF Products
Ultimate Product ID Exporter,2,1,Free plan available,"Export Products to Excel - ID Fields, Custom Template, & more."
Fancy Product Designer,4.9,28,14-day free trial,"Design any product, increase margins, grow your business."
Warn: Country Product Warnings,4.8,13,Free plan available,"Show country-specific disclaimers, notes & warning pop ups"
Frame It Easy,5,2,Free,"Sell art & photos with print & frame, US dropship fulfillment"
Clever Variant Images,4.9,30,Free plan available,Display images based on selected product variants
Ultimate Size Chart,4.6,109,30-day free trial,Size charts & size guides for your fashion or clothing store
Variator: See Product Variants,4.6,20,10-day free trial,Enhance browsing experience by show all variants on collection
Option Price Calculator,5,12,Free plan available,"Formula based option pricing, price tables, by the box pricing"
Posterly Product Personalizer,4.7,66,10-day free trial,"Customized and personalized city, star and zodiac products"
Size Chart ‑ Clothes Fit Guide,3.1,23,Free plan available,Smartest way to show sizing charts & up your conversions game
Jewelry Solutions,2,21,Free plan available,B2B jewelry marketplace and experience optimization
Smart Variant Table,3,4,Free,Create customized product tables with a no-code solution.
Lazify ‑ Lazy Load Images,4,12,$4.99/month,Reduce your loading times by lazy loading your images
C: Product Variants in Table,4.9,25,7-day free trial,Eye catching listing of product variants & quick add to cart.
Bundleup ‑ Bundle Inventory,2.8,4,14-day free trial,Manage and fulfill your bundle sales more accurately.
Custom Product Designer Studio,4.3,17,7-day free trial,"Product Design Customizer for T-shirt, Mug, Mobile Cover, shoe"
3D & AR Customize Products 360,5,4,Free plan available,3D & AR experiences transform brands captivating and inspiring
Lumise ‑ POD Product Designer,4.4,97,15-day free trial,Breakthrough solution for your print services store
Measurement Price Calculator,4.4,35,10-day free trial,Easy Custom Measurement Pricing Calculator with Price Per Unit
Hubify Product Custom Options,1.5,2,3-day free trial,Cutomers can submit additional details with the products
Optionify:More Product Options,4.4,90,10-day free trial,Create extra and unlimited product options (price per option)
HS Product Options & Variants,5,1,Free,Create unlimited product custom fields to boost sales
Tshirt & Product Design Studio,4.2,75,10-day free trial,"Design product (T-shirt, Mug, Bag, etc.) with text, image, etc"
Automotive Part Search,4.9,15,14-day free trial,Add Year Make Model search to your store
